,text,label
27882,"**SPOILERS** Since the disappearance at sea of her favorite niece Phyllis murder mystery writer Abigail Mitchell, Ruth Gordon, has strong suspicions that it was Phyllis' husband Edmund Galvin, Charles Frank, who was responsible for her death. In fact Abigail is convinced that he murdered her and made it look like a tragic accident.<br /><br />Knowing that there's no evidence to have Edmund arrested for Phyillis' death and deciding to take the law into her own hands Abigail cooks up this elaborate plan to do him in and make it look, like Phyllis' death, a tragic accident. Getting Edmund to secretly come over to her mansion to give him the combination to her walk-in safe, as she's about to leave on vacation for New York City, Abigail tricks him into going inside locking the startled and surprised Edmund in. With the safe being soundproof nobody at the mansion the butler maid and Abigail's personal secretary Veronica, Mariette Hartley, hear him screaming for help and the next day Edmund is found suffocated to death. Veronica discovered Edmund's body as she was about to put away, for safe keeping, Abigail's latest murder mystery manuscript.<br /><br />Lt. Columbo, Peter Falk, is called on the case involving the strange death of Edmund Garvin to determine if it's a murder or a tragic accident. Going through Edmund's apartment Columbo is puzzled to find out that he doesn't have a single photo of his late wife, who's been missing for just a month! This ties into what Abigail always felt about him in Edmund not being in love with Phyllis and also a suspect in her, in Abigail's mind, murder. <br /><br />Columbo a big fan, together with his wife, of Abigail's murder mystery novels has a hard time realizing that she in fact was responsible for Edmund's death. All the evidence points to Abigil including a pair of missing car keys that was Edmunds. This all proved that Abgail was in fact in the house, not on her way to the airport, when Edmund was locked inside the walk-in safe.<br /><br />Going through all the evidence Columbo comes up with this strange conclusion that Edmund must have left some evidence inside the safe in writing to who his killer is. That conclusion is quickly checkmated when it's found out that Edmund didn't even have a pen or pencil as well as light, with the safe light-bulb burned out, on him to write it. There's also something very odd that's inside the safe that has been on Lt. Columbo's mind ever since he came on the case. This has to do with the black paint residue that was found under the dead Edmund's fingernails and on his belt buckle! <br /><br />It's that evidence, when put together with a number of other items in the safe, that in the end hangs Edmund's murder on the tricky and very cunning mystery writer Abigail Mitchell. Edmund let Abigail unknowingly convict herself in his final attempt as the air in the safe was being used up, by his breathing, in using burnt out matchsticks to write on Abigail last manuscript who murdered him: Abigail Mitchell!",1
4416,"All Dogs Go To Heaven is on a par with Watership Down for scary kiddies films. Both were dark and pretty sinister, but at the same time the most mesmerising experience a child can have. This was one of my favourite films as a kid. I was in love with Charlie and at the tender age of about five or six, I'll admit... I had a crush on a cartoon dog. All Dogs tells the dark story of lovable cad Charlie and his partner in crime Itchy. The story starts with Charlie escaping from death row and swaggering off to the nearest club to do some gambling. Of course, as a child, I didn't understand the concept of this film. I loved the songs and the animation but as I've got older I do begin to wonder why I wasn't disturbed by this film as a youngster. It deals with pretty adult themes --- gambling, murder, hell and prison but in a world of goody-goody Disney films, it's something every child should watch once. <br /><br />Yes, there's some sort of crazy transvestite crocodile scene and the hell scenes scare me more now that when I was little, but it delivers such a poignant message that should not be ignored by parents!",1
20017,"What can I say about this film that won't give you any preconceived notions when you see it? Very little. The plot has to do with the return from hospital of a teenage girl after she broke down. What follows after that is the movie. It is one of the creepiest most mind blowing films of the past several years. Everything about the film is just slightly off center and leaves you feeling ill at ease well after the film has ended. It is not a perfect film. The film has problems in its final half hour which make an already confusing story, even more confused.(If you've read any number of other comments here on IMDb and elsewhere you'll know that a great deal of time has been spent trying to unlock what actually is going on) I'm not sure what I actually think of this film beyond the fact that it scared me and disturbed me in ways that most well known horror films ever have. If you like horror, and don't mind not having everything clearly summed up I suggest you try this since it will more than likely make your skin crawl.",1
21562,"WARNING: POSSIBLE SPOILERS (but not really - keep reading). Ahhh, there are so many reasons to become utterly addicted to this spoof gem that I won't have room to list them all. The opening credits set the playful scene with kitsch late 1950s cartoon stills; an enchanting Peres 'Prez' Prado mambo theme which appears to be curiously uncredited (but his grunts are unmistakable, and no-one else did them); and with familiar cast names, including Kathy Najimi a full year before she hit with Sister Acts 1 & 2 plus Teri Hatcher from TV's Superman.<br /><br />Every scene is imbued with shallow injustices flung at various actors, actresses and producers in daytime TV. Peeking behind the careers of these people is all just an excuse for an old-fashioned, delicious farce. Robert Harling penned this riotous spoof that plays like an issue of MAD Magazine, but feels like a gift to us in the audience. Some of the cliched characters are a bit dim, but everyone is drizzling with high jealousy, especially against Celeste Talbert (Sally Field) who is the show's perennial award-winning lead, nicknamed ""America's Sweetheart"". The daytime Emmies-like awards opening does introduce us to Celeste's show, The Sun Also Sets. Against all vain fears to the contrary, Celeste wins again. She is overjoyed, because it's always ""such a genuine thrill"": ""Adam, did you watch? I won! Well, nguh..."" The reason for Adam's absence soon becomes the justification for the entire plot, and we're instantly off on a trip with Celeste's neuroses. She cries, screeches, and wrings her hands though the rest of the movie while her dresser Tawnee (Kathy Najimi, constantly waddling after Celeste, unseen through Celeste's fog of paranoia) indulges a taste for Tammy Faye Baker, for which Tawnee had been in fact specifically hired.<br /><br />Rosie Schwartz (Whoopi Goldberg) has seen it all before. She is the head writer of the show, and she and Celeste have been excellent support networks to each other for 15 years. So when Celeste freaks, Rosie offers to write her off the show for six months: ""We'll just say that Maggie went to visit with the Dalai Lama."" But Celeste has doubts: ""I thought that the Dalai Lama moved to LA."" ""-Well, then, some other lama, Fernando Lamas, come on!"". Such a skewering line must be rather affronting to still living beefcake actor Lorenzo Lamas, son of aforementioned Fernando Lamas (d. 1982).<br /><br />Those who can remember the economics teacher (Ben Stein) in Ferris Bueller's Day Off (1986) as he deadeningly calls the roll (""Bueller. Bueller. Bueller""), will take secret pleasure from seeing him again as a nitwit writer. Other well hidden member of the cast include Garry Marshall (in real life Mr Happy Days and brother of Penny), who ""gets paid $1.2 million to make the command decisions"" on The Sun Also Sets - he says he definitely likes ""peppy and cheap""; and Carrie Fisher as Betsy Faye Sharon, who's ""a bitch"".<br /><br />Geoffrey Anderson (Kevin Kline) is the ""yummy-with-a-spoon"" (and he is, by the way) dinner theater actor now rescued from his Hell by David Seaton Barnes (Robert Downey Jr), and brought back to the same show he was canned from 20 years earlier. Of course this presents some logical challenges for the current scriptwriters because his character, Rod Randall, was supposed to have been decapitated all those years ago. Somehow they work out the logical difficulties, and Geoffrey Anderson steps off the choo-choo.<br /><br />Celeste can now only get worse, and her trick of going across the Washington bridge no longer helps. First, her hands shake as she tries to put on mascara, but she soon degenerates into a stalker. Unfortunately, she cannot get rid of Geoffrey Anderson so easily. Geoffrey's been promised development of his one-man play about Hamlet, and he means to hold the producer to that promise. ""I'm not going back to Florida no-how!"", argues Geoffrey. ""You try playing Willie Loman in front of a bunch of old farts eating meatloaf !"" And indeed, seeing Geoffrey's dinner theater lifestyle amongst all the hocking and accidents is hilarious. Back in Florida in his Willie Loman fat suit in his room, Geoffrey Anderson used to chafe at being called to stage as ""Mr Loman"". He was forced to splat whatever cockroaches crawled across his TV with a shoe, and to use pliers instead of the broken analog channel changer. Now he find himself as the yummy surgeon dating Laurie Craven, the show's new ingenue; so he's not leaving.<br /><br />Beautiful Elizabeth Shue (as Laurie) rounds out the amazing ensemble cast who all do the fantastic job of those who know the stereotypes all too well. But, of course, the course to true love never did run smoothly. Montana Moorehead (Cathy Moriarty) is getting impatient waiting for her star to rise, and is getting desperate for some publicity.<br /><br />Will her plots finally succeed? Will Celeste settle her nerves, or will she kill Tawnee first? Will the producer get Mr Fuzzy? -You'll just have to watch * the second half * of this utterly lovable, farcically malicious riot.<br /><br />And you'll really have to see to believe how the short-sighted Geoffrey reads his lines without glasses live off the TelePrompter. If you are not in stitches with stomach-heaving laughter and tears pouring down your face, feel free to demand your money back for the video rental. Soapdish (1991) is an unmissable gem that you will need to see again and again, because it's not often that a movie can deliver so amply with so many hilarious lines. This is very well-crafted humor, almost all of it in the writing. A draw with Blazing Saddles (1974) for uproarious apoplexy value, although otherwise dissimilar. Watch it and weep. A happy source for anyone's video addiction. 10 out of 10.",1
28311,"This film is truly execrable in all departments. Script, acting, plot, direction and editing are all uniformly awful. I give it 1 out of 10 simply because people turned up to make it. I would have given it 2 out of 10 if they had all stayed at home instead. Avoid at all costs!",0
20991,"Soultaker was written by and starred Vivian Schilling. It also starred Joe Estevez, Gregg Thomsen, and Robert D'Zar as the Angel of Death.<br /><br />The story begins with introduction to Soultaker, played by Joe Estevez. We quickly learn what Soultaker's role will be in this movie.<br /><br />Next the college aged young people are getting ready for a summer festival, aptly named ""Summerfest"". In this film, the battle of the classes is omni-present throughout the film. The girls come from a wealthy class, and the guys come from roughly middle or lower class. The class roles seem to play a role in the film for some reason which isn't really clear or pertinent to the story.<br /><br />At Summerfest we learn more about the apparent class struggles of why Zach isn't encouraged to date Natalie. Soultaker makes an appearance as well, with apparently his boss the Angel of Death. Here D'Zar's character points out who is to die and who's souls are to be taken. It's revealed as well, that Soultaker will have a character conflict regarding Natalie, and how he deals with her because of someone in his past.<br /><br />Meanwhile Natalie is ditched by her ride to Summerfest, and Zach convinces her to ride home with them. During the ride home, Soultaker takes an active role causing them to wreck horribly at high speeds.<br /><br />The rest of the story surrounds the Soultaker collecting the souls of the dead passengers, and Zach and Natalie trying to outwit him to return to their bodies so they can continue to live. The class and character conflicts lay in the story, but are really never brought to the forefront or resolved.<br /><br />There's an attempt towards the end to drag out some of the drama, there's a lot of chasing and running which does tend to be really boring. It's not really acceptable, and it would've been nice had this been dealt with differently, somehow to maybe increase the drama but not bore the audience.<br /><br />The story and acting are decent. The soundtrack is OK, and even the production values are good.<br /><br />Robert D'Zar in his brief on screen appearances does a nice job as the Angel of Death. Joe Estevez does OK, however sometimes his role acting a bit flat. Vivian is pretty and does a decent job as Natalie, although perhaps over acting a bit in a few scenes.<br /><br />This may sound odd, but this movie definitely could've benefited from some pointless nudity. Vivian teases us a bit but that wasn't enough.<br /><br />In my opinion this was a pretty serious attempt at making a movie. The results, it's worth watching. Just don't expect a perfect production.<br /><br />3/10",0
25302,"Sacchi is the best Bogart impersonator ever... dry and droll as Sam Marlowe. The music from award winning composer George Duning [From Here To Eternity, Picnic, The World of Suzie Wong], the cinematography of perfect locations [including the famous Ambassador Hotel] are all right on target as famous tv director Robert Day [Kojak, Streets of San Francisco, The Avengers] guides the most endearing group of well-known character actors through a spoof of every dark detective film every made. See this if you loved all the old serious flicks and have a sense of humor... this one is a hoot.",1
184,"Version: Universal / Hong Kong Legends R4 DVD release. Cantonese / English subtitles<br /><br />Once upon a time, five years ago, the world was obsessed with 'The Matrix', and I was perhaps one of the few fifteen year olds left who still believed that 'Terminator' was better than 'Matrix'. I was but a simple teenage boy, looking for a good action movie, and then there was a shining light on a TV station I had never really watched, a little station known as SBS. One night I noticed in the TV guide that a movie starring Jackie Chan - 'Police Story' would be on later. Being fifteen, and having only seen 'Rumble in the Bronx' and 'Rush Hour', I said... ""WOW AWESOME"" and sat down to watch it, and continually shouted ""WOW AWESOME"" as the movie progressed. Two weeks later, after SBS had shown the 'Police Story' trilogy, I knew I had found my new favourite actor.<br /><br />Jackie plays Chan Ka Kui, a Hong Kong cop who busts a major drug-lord, Chu (Yuen Chor). Chu's secretary, Selina Fong (Brigitte Lin), is being held by the police as a witness against Chu, and Chan is assigned to protect her. Things go bad - reaaaal bad - when Chu's case is dismissed and he decides he wants Fong and Chan dead.<br /><br />'Police Story' is one of the greatest action movies ever, and certainly one of my favourite Jackie Chan films. It starts off strong, and ends with one of the most incredible action sequences ever filmed. Everything in between is great. However, some of the funny parts may seem a little tasteless to more than a few people...<br /><br />As a story, this is still one of Jackie's better efforts. For an action movie, the story is pretty good, and Jackie is a much better actor in this than he is in the acting & plot intensive 'New Police Story'. This isn't 'Miracles', but maybe that's a good thing.<br /><br />'Police Story' is one of Jackie's finest works. It got me hooked on Jackie Chan movies, and should provide a nice start for any potential Jackie fans. The bad news for anyone who sees this first is that Jackie Chan movies don't come much better - 10/10",1
33547,"Straight to the point: ""The Groove Tube"" is one of the most unfunny, unclever and downright horrible films ever made. This ""comedy"" is so void of anything remotely resembling a trace of wit that it's almost incomprehensible that it was even made. I said almost because there are fans of everything after all.<br /><br />This film isn't even ""good"" bad or ""enjoyable"" bad. To put this movie on the same level of entertainment as ""Plan 9"" or ""Robot Monster"" would be a crime to those films. Films like that you can actually watch and get a kick out of. But this film is SO bad, SO poorly made, acted and scripted and SO incredible stale, that there just isn't even a trace of ""camp"" or ""schlock"" to be found.<br /><br />Even though this was made before Saturday Night Live premiered, comparisons were probably inevitable. I'm not a big fan of SNL, but this film is worse than the worst SNL skit you can find. And man, that's BAD. Just to keep the men viewers from leaving, Shapiro throws in a pair of breasts every so often, but poorly-filmed breasts from 1974 aren't going to excite anyone these days. Truthfully this film is so poorly made and is such a sleep-inducing excursion, I doubt if they excited anyone in 1974 either.<br /><br />A man named Ken Shapiro made this film. I swear to God, any ten-year old with a video camera could have made something funnier and more clever. It's just downright unreal - this is truly an unbelievable film. The ""jokes"" and ""gags"" are so infantile that even little boys who like to sneak dad's porno mags out at night won't laugh.<br /><br />I will give this film one thing - the very last sequence, the ""dancing man"" sequence, where a guy (Shapiro) on the streets of NYC dances to a tune, is easily the best thing in this horrible film. Not that the ""dancing man"" sequence is that great either - it definitely has its moments of not being clever as Shapiro desperately tries to fill in the time for the entire song - but it actually was somewhat watchable. The part of this sequence where the cop starts dancing with the man is the one sole trace of cleverness in the entire film. No wonder Shapiro put this sequence last - again, while not so great itself, it easily beats anything else in this ""film.""<br /><br />Otherwise, this film is such a complete piece of crap, it's unfathomable as to how an actual human being can be so downright cleverless. The name of this film should have been ""Ken Shapiro's Craparama."" It's amazing that this was made, but many truly talented filmmakers can't get in. However, I will say that I bet the geniuses at NYU would love this movie. Total garbage.",0
26911,"Remember the good ol' animated batman show from the 90's? The one that people praised? The one that people of all ages could all appreciate? The one that showed batman as a real detective instead of the Hulk in a bat suit? The one that had villains you could relate to? The one that had villains with real motives?<br /><br />Well clearly, Warner Bros. doesn't. Hence this dreck.<br /><br />Honestly, do these people know anything about batman? Have they even looked at a batman comic before? Do they know Batman's meant to be a 'detective'? Putting together 2 clues does not make you a detective! That makes you a slightly intelligent monkey!<br /><br />This is the basic layout for an episode:<br /><br />Penguin steals something. 'Opening credits'. Batman finds dead giveaway of where he is. Batman goes there and get's into trouble. Commercial. Batman finds obvious/ stupid way out of it. Penguin escapes. Penguin does something obvious again. Batman follows. They do kung-fu (by the way everyone, and i mean EVERYONE know's kung-fu for some reason). Batman punch's penguin. he get's knocked out. goes to arkham. (Note: it's usually a different villain every episode)<br /><br />Well as you may have noticed from that, Batman's not a great detective. ""Joker left this piece of cotton candy on the ground, maybe he's at the old amusement park""! Yeah maybe, he was there the last 6 times.<br /><br />And I've already mentioned this but, EVERYONE KNOWS KUNG-FU! EVEN PENGUIN! what where they thinking? (probably because it's from the people who made that Jackie Chan animated series)<br /><br />What's really upsetting is that the show is just action. No smarts. None. If batman needs think, he'll use technology, then do some kung-fu.<br /><br />But hey, let's not forget the villains. Afterall, what would batman be without his rogues gallery?<br /><br />Well first off, I gotta say, kudos for originality. I don't think other batman media would have envisioned joker and a dread-locked monkey man, riddler like an emo, and poison ivy as a minor (which is kind of confusing when you think about, isn't her sexuality meant to be her main strength?)<br /><br />What's even more crap however is that, every character is now a 2-Dimensional, stereotypical crook.<br /><br />E.G.<br /><br />Killer Croc wants to flood Gotham for no reason.<br /><br />Man-Bat is a power hungry mad scientist who is obsessed with bats for some unexplained reason.<br /><br />Penguin just wants to steal everything. For no reason.<br /><br />noticing a pattern here?<br /><br />But the most insulting has got to be Mr Freeze.<br /><br />Do you remember the Emmy award winning 'Heart of Ice' episode from Batman: The Animated Series? The one that gave Mr Freeze motives for his crimes? The episode that was so good that it was used in the comics over his original back story (mad scientist)? The one that made him a victim, with a goal? Hell, even Batman & Robin acknowledged that, using that as Mr Freezes origin in that P.O.S. movie.<br /><br />Well this series says ""F#ck that"" and makes Mr Freeze a jewelry robber before his accident, with only wealth in his mind, then gets frozen and gives him the power to make things cold. He then continues to steal jewels for no reason, while saying sh!t lines like ""Have an ice day"".<br /><br />Maybe they did watch Batman &Robin after all.<br /><br />But hey, look on the bright side. This series makes you feel nothing for the villains so that means that you're a good person. Good for you.",0
31110,This film is a bad film but to gain any nutritional value from it I recommend watching it back to back with Rosemary's Baby.<br /><br />There is a lot to learn seeing how different directors can draw different performances from the same actors playing the same characters. Observe Minnie Castevet (Ruth Gordon) and the fine work she did in the first film vs the awful rendition in this film.<br /><br />It is also interesting to see how the same characters were played by different actors. Which leads me to wonder if anyone involved with the sequel were aware of the first film and did any of them watch Rosemary's Baby before making this?<br /><br />If your interest in films is purely superficial then you would best avoid this one. I have a lot more to say about this film but I really don't want to go there.,0
